fishid,date,slfl,flfl,slet,flet,tlfl
419,5/28/2003,83,90,,,97
1125,6/25/2003,83,91,,,99
3360,11/5/2003,83,88,,,97
1952,7/17/2003,84,91,,,98
3306,10/8/2003,84,90,,,98
1126,6/25/2003,85,91,,,101
1127,6/25/2003,85,92,,,99
3017,9/8/2003,85,90,,,101
3521,12/1/2003,85,91,,,100
3666,,85,93,,,103
3684,12/2/2003,85,91,,,100
1128,6/25/2003,86,97,,,104
3160,10/7/2003,86,94,,,102
1154,6/25/2003,87,96,,,104
2465,8/7/2003,87,94,,,101
1132,6/25/2003,88,95,,,104
2379,8/7/2003,88,95,,,103
3327,10/8/2003,88,95,,,104
3347,10/14/2003,88,95,,,105
3359,11/5/2003,88,95,,,105
3363,11/5/2003,88,95,,,103
1032,6/24/2003,90,98,,,107
3118,10/6/2003,91,99,,,110
3345,10/14/2003,91,97,,,108
3319,10/9/2003,92,100,,,110
2880,9/10/2003,93,100,,,110
3552,12/2/2003,93,98,,,108
508,6/2/2003,94,100,,,111
3622,12/4/2003,94,102,,,111
3670,,94,101,,,112
2528,8/5/2003,95,102,,,112
3557,12/2/2003,95,102,,,113
3667,,96,103,,,112
3416,11/6/2003,97,105,,,114
3505,12/2/2003,97,104,,,112
3556,12/2/2003,97,105,,,114
3668,,97,105,,,115
3317,10/8/2003,98,105,,,116
3671,,99,108,,,116
3513,12/1/2003,100,108,,,120
3603,12/1/2003,100,110,,,120
3497,12/1/2003,101,109,,,120
3542,12/1/2003,103,109,,,120
3619,12/2/2003,104,112,,,123
3515,12/1/2003,105,114,,,124
3516,12/1/2003,105,113,,,124
3559,12/2/2003,105,113,,,120
3673,,105,110,,,123
3517,12/1/2003,106,114,,,125
3518,12/1/2003,106,116,,,128
3621,12/2/2003,106,113,,,124
3669,,106,114,,,123
3580,12/4/2003,107,115,,,126
3617,12/4/2003,107,115,,,126
3674,,108,116,,,128
3680,12/2/2003,109,118,,,129
3672,,110,116,,,130
3679,12/2/2003,110,119,,,129
3620,12/2/2003,112,120,,,131
3675,,112,118,,,128
3696,12/8/2003,113,122,,,131
3618,12/2/2003,114,120,,,132
